Topic,Percentage,song_id,song_name,artist,album,Like_Count,Lyric,cover_url,tags,year
1,0.49273251088569486,1764294,Monster (Korean ver.),드렁큰 타이거(Drunken Tiger),Feel gHood Muzik - The 8th Wonder,67572,아픈 마음의 상처에 음악의 연고를 발라버려      밤 밤 바바바 밤발라버려 밤 밤 바바바 밤발라버려  밤 밤 바바바 밤발라버려 밤 밤 바바바 밤발라버려                                                   밤마다 밤새 마감일에 압박  구겨진 종이 쪼가리로 더럽혀진 방바닥에  엎질러진 커피를 대충대충 닦아 난 창작의 노예 창작의 고뇌  좁혀지는 오선 정지선 안에 갇힌 노랫말  말들은 머릿속 마구간에 서 있구  그들은 그저 들판으로 자유롭고 싶구  금 토 일 월 화 수 목 화  인생은 드라마 이젠 놀랍진 않아  매일매일 끄떡거리는 연필심을 따라  필요 없는 우표에 침을 발라버려 엽서에 붙여 하늘로 날려버려      밤 밤 바바바 밤발라버려 밤 밤 바바바 밤발라버려  밤 밤 바바바 밤발라버려 밤 밤 바바바 밤발라버려                                                     발라버려 마른 입술에 침을 발라버려  떡볶이에 고추장을 발라버려 김밥에 참기름을 발라버려  찬밥을 라면국에 말아먹어 비빔밥에 고추장을 발라버려  삼겹살에 쌈장을 발라버려 다 발라버려 발라 발라 버려                  난 한방을 노려 난 한방을 노려 지더라도 상관없어  다음 판을 노려 난 갈 때까지 갔어      난 참을 만큼 참았어                                     발라라 발라라 발라버려       밤 밤 바바바 밤발라버려 밤 밤 바바바 밤발라버려  밤 밤 바바바 밤발라버려 밤 밤 바바바 밤발라버려   ,https://image.bugsm.co.kr/album/images/200/1897/189761.jpg?version=20210421040444.0,"['2020년', '2020년대', '연도별 국내영화OST', '영화', 'OST', '국내', '국내 영화', '영화/드라마']",2020y
1,0.981343916807376,30598121,밤편지,아이유(IU),밤편지,38694,이 밤 그날의 반딧불을   당신의 창 가까이 보낼게요  음 사랑한다는 말 이에요    나 우리의 첫 입맞춤을 떠올려  그럼 언제든 눈을 감고   음 가장 먼 곳으로 가요    난 파도가 머물던 모래 위에 적힌 글씨처럼  그대가 멀리 사라져 버릴 것 같아   늘 그리워 그리워    여기 내 마음속에   모든 말을 다 꺼내어 줄 순 없지만  사랑한다는 말 이에요    어떻게 나에게 그대란 행운이 온 걸까  지금 우리 함께 있다면 아 얼마나 좋을까요    난 파도가 머물던 모래 위에 적힌 글씨처럼  그대가 멀리 사라져 버릴 것 같아  또 그리워 더 그리워    나의 일기장 안에  모든 말을 다 꺼내어 줄 순 없지만  사랑한다는 말    이 밤 그날의 반딧불을 당신의  창 가까이 띄울게요  음 좋은 꿈 이길 바라요,https://image.bugsm.co.kr/album/images/200/200890/20089092.jpg?version=20210421044106.0,"['국내외', '2020년', '100시리즈', '뮤직기네스', '2020 벅스 종합 결산 특집']",2020y
1,0.9863140382584268,517714,I Believe (엽기적인 그녀 O.S.T),신승훈,The Shin Seung Hun,34174,그댄 곁에 없지만   이대로 이별은 아니겠죠     나에게 오는 길은   조금 멀리 돌아올 뿐 이겠죠  모두 지나간 그 기억속에서  내가 나를 아프게하며 눈물을 만들죠     나만큼 울지 않기를 그대만은   눈물없이 날 편하게 떠나주기를   언젠가 다시 돌아올   그대라는 걸 알기에 난 믿고 있기에   기다릴께요 난 그대여야만 하죠       내가 아파할까봐   그대는 울지도 못했겠죠     흐르는 내 눈물이   그댈 다시 내게 돌려주겠죠  자꾸 멈추는 내 눈길속에서   그대 모습들이 떠올라 눈물을 만들죠     나만큼 울지 않기를 그대만은   눈물없이 날 편하게 떠나주기를   언젠가 다시 돌아올   그대라는 걸 알기에 난 믿고 있기에   기다릴께요 난 그대여야만 하죠     나 그댈 알기 전 이세상도   이렇게 눈부셨는지   그 하늘 아래서 이젠   눈물로 남겨졌지만 이 자릴 난 지킬께요     그대란 이유만으로 나에게는   기다림조차 충분히 행복하겠죠   사랑한 이유만으로   또 하루가 지나가고 오는길 잊어도   기다릴께요 난 그대여야만 하죠   난 그대여야만 하죠  ,https://image.bugsm.co.kr/album/images/200/158/15875.jpg?version=20200911140008.0,"['2020년', '2020년대', '연도별 국내영화OST', '영화', 'OST', '국내', '국내 영화', '영화/드라마']",2020y
0,0.9824867317280286,30994623,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3,26963,네가 없이 웃을 수 있을까  생각만 해도 눈물이나  힘든 시간 날 지켜준 사람  이제는 내가 그댈 지킬 테니    너의 품은 항상 따뜻했어  고단했던 나의 하루에 유일한 휴식처     나는 너 하나로 충분해  긴 말 안 해도 눈빛으로 다 아니깐  한 송이의 꽃이 피고 지는  모든 날 모든 순간 함께해    햇살처럼 빛나고 있었지  나를 보는 네 눈빛은  꿈이라고 해도 좋을 만큼  그 모든 순간은 눈부셨다    불안했던 나의 고된 삶에  한줄기 빛처럼 다가와 날 웃게 해준 너     나는 너 하나로 충분해  긴 말 안 해도 눈빛으로 다 아니깐  한 송이의 꽃이 피고 지는  모든 날 모든 순간 함께해    알 수 없는 미래지만  네 품속에 있는 지금 순간 순간이  영원 했으면 해     갈게 바람이 좋은 날에  햇살 눈부신 어떤 날에 너에게로  처음 내게 왔던 그날처럼  모든 날 모든 순간 함께해,https://image.bugsm.co.kr/album/images/200/201547/20154722.jpg?version=20190515010725.0,"['국내외', '2020년', '100시리즈', '뮤직기네스', '2020 벅스 종합 결산 특집']",2020y
0,0.9837511650917908,31548668,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,19884,모든 게 궁금해         뭐가 널 행복하게 하는지          내 머리맡에 두고 싶어         네 모든 걸 다 가르쳐줘           나는  저 하늘을 높이 날고 있어  그때 니가 내게 줬던 두 날개로  이제 여긴 너무 높아  난 내 눈에 널 맞추고 싶어                          네 전부를 함께하고 싶어                이제 조금은 나 알겠어                               널 알게 된 이후  내 삶은 온통 너   사소한 게 사소하지 않게  만들어버린 너라는 별  하나부터 열까지 모든 게 특별하지  너의 관심사 걸음걸이 말투와  사소한 작은 습관들까지  다 말하지 너무 작던 내가  영웅이 된 거라고    난 말하지 운명 따윈  처음부터 내 게 아니었다고    세계의 평화    거대한 질서    그저 널 지킬 거야 난          나는  저 하늘을 높이 날고 있어  그때 니가 내게 줬던 두 날개로  이제 여긴 너무 높아  난 내 눈에 널 맞추고 싶어                           네 전부를 함께하고 싶어                  이제 조금은 나 알겠어                        툭 까놓고 말할게  나도 모르게 힘이 들어가기도 했어  높아버린  커져버린   때론 도망치게 해달라며 기도했어   너의 상처는 나의 상처  깨달았을 때 나 다짐했던 걸  니가 준 이카루스의 날개로  태양이 아닌 너에게로                     네 전부를 함께하고 싶어                이제 조금은 나 알겠어                        ,https://image.bugsm.co.kr/album/images/200/202460/20246036.jpg?version=20210428040432.0,"['국내외', '2020년', '100시리즈', '뮤직기네스', '2020 벅스 종합 결산 특집']",2020y
1,0.9854957235696529,31708907,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤),항해,19420,일부러 몇 발자국 물러나  내가 없이 혼자 걷는 널 바라본다  옆자리 허전한 너의 풍경  흑백 거리 가운데 넌 뒤돌아본다  그때 알게 되었어  난 널 떠날 수 없단 걸  우리 사이에 그 어떤 힘든 일도  이별보단 버틸 수 있는 것들이었죠  어떻게 이별까지 사랑하겠어  널 사랑하는 거지  사랑이라는 이유로 서로를 포기하고  찢어질 것같이 아파할 수 없어 난  두세 번 더 길을 돌아갈까  적막 짙은 도로 위에 걸음을 포갠다  아무 말 없는 대화 나누며  주마등이 길을 비춘 먼 곳을 본다  그때 알게 되었어  난 더 갈 수 없단 걸  한 발 한 발 이별에 가까워질수록  너와 맞잡은 손이 사라지는 것 같죠  어떻게 이별까지 사랑하겠어  널 사랑하는 거지  사랑이라는 이유로 서로를 포기하고  찢어질 것같이 아파할 수 없어 난  어떻게 내가 어떻게 너를  이후에 우리 바다처럼 깊은 사랑이  다 마를 때까지 기다리는 게 이별일 텐데  어떻게 내가 어떻게 너를  이후에 우리 바다처럼 깊은 사랑이  다 마를 때까지 기다리는 게 이별일 텐데,https://image.bugsm.co.kr/album/images/200/202788/20278851.jpg?version=20210727012601.0,"['국내', '가요', '연도별 인기가요', '2020년', '2020년대']",2020y
2,0.9779761895350225,31501137,주저하는 연인들을 위해,잔나비,전설,19178,나는 읽기 쉬운 마음이야  당신도 스윽 훑고 가셔요  달랠 길 없는 외로운 마음 있지  머물다 가셔요 음  내게 긴 여운을 남겨줘요  사랑을 사랑을 해줘요  할 수 있다면 그럴 수만 있다면  새하얀 빛으로 그댈 비춰 줄게요  그러다 밤이 찾아오면  우리 둘만의 비밀을 새겨요  추억할 그 밤 위에 갈피를 꽂고 선   남몰래 펼쳐보아요   나의 자라나는 마음을  못 본채 꺾어 버릴 수는 없네  미련 남길바엔 그리워 아픈 게 나아  서둘러 안겨본 그 품은 따스할 테니  그러다 밤이 찾아오면  우리 둘만의 비밀을 새겨요  추억할 그 밤 위에 갈피를 꽂고 선  남몰래 펼쳐보아요  언젠가 또 그날이 온대도  우린 서둘러 뒤돌지 말아요  마주보던 그대로 뒷걸음치면서  서로의 안녕을 보아요  피고 지는 마음을 알아요 다시 돌아온 계절도  난 한 동안 새 활짝 피었다 질래 또 한번 영원히  그럼에도 내 사랑은 또 같은 꿈을 꾸고  그럼에도 꾸던 꿈을 난 또 미루진 않을거야,https://image.bugsm.co.kr/album/images/200/202371/20237198.jpg?version=20210421045158.0,"['국내외', '2020년', '100시리즈', '뮤직기네스', '2020 벅스 종합 결산 특집']",2020y
1,0.9889779885352883,31780300,Square (2017),백예린 (Yerin Baek),Every letter I sent you.,18819,모든 색깔과 성격들            그것들 사이로는 내가 정말 어떤 사람인지 볼 수 없어        넌 예고도 없이 나에게 상처를 주고            누가 날 털어간 것 마냥 부서진 것 같아        난 강한 사람이 아니야           난 점점 약해져가는 기억들이 훨씬 많은 걸        나도 내가 사랑받을 수 없는 거 알아           그래도 네가 어떤 말을 해줘야 하는지 알지             나와 같이 침대로 가자         우린 이 밤을 신나게 보낼 거야         누가 너에게 그런 짓을 한 거야              네가 당장 잠들 수 있는 기분이 아니라면            나와서 나랑 한잔하고 감당하기 힘든 하루를 보내자         내가 거기 있길 바라              네가 당장 잠들 수 있는 기분이 아니라면         나와 함께 가자        내가 너의 것이 되어줄게            모든 흔적들과 과거를 회상하는 일들            그 사이로는 내가 정말 어땠는지 느낄 수 없을 거야         넌 날 예고도 없이 끌어당겼고            마치 누가 날 사랑한 적이 없는 것처럼 정말 낯설었어        난 강한 사람이 아니야           난 점점 약해져가는 기억들이 훨씬 많은 걸        나도 내가 사랑받을 수 없는 거 알아           그래도 네가 어떤 말을 해줘야 하는지 알지             나와 같이 침대로 가자         우린 이 밤을 신나게 보낼거야         누가 너에게 그런 짓을 한거야              네가 당장 잠들 수 있는 기분이 아니라면            나와서 나랑 마시고 감당하기 힘든 하루를 보내자         내가 거기 있길 바라              네가 당장 잠들 수 있는 기분이 아니라면         나와 함께 가자        내가 너의 것이 되어줄게               너는 내 어제를 본 유일한 사람이야           여기 오늘 내가 살아있다는 걸 아는 사람이고           날 위로해줘 내가 너에게 어떤 뜻인지 말해줘           네가 뭐라고 해야 하는지 알아야 해             나와 같이 침대로 가자         우린 이 밤을 신나게 보낼 거야         누가 너에게 그런 짓을 한거야              네가 당장 잠들 수 있는 기분이 아니라면            나와서 나랑 마시고 감당하기 힘든 하루를 보내자         내가 거기 있길 바라              네가 당장 잠들 수 있는 기분이 아니라면         나와 함께 가자        내가 너의 것이 되어줄게,https://image.bugsm.co.kr/album/images/200/202938/20293803.jpg?version=20201224171913.0,"['국내', '가요', '연도별 인기가요', '2020년', '2020년대']",2020y
0,0.7416438936385761,31290534,너를 만나,폴킴(Paul Kim),너를 만나,18122,너를 만난 그 이후로  사소한 변화들에 행복해져  눈이 부시게 빛 나는 아침  너를 떠올리며 눈 뜨는 하루  식탁 위에 마주 앉아  너의 하루는 어땠는지 묻거나  나의 하루도 썩 괜찮았어  웃으며 대답해 주고 싶어  별것 아닌 일에 맘이 통할 때면  익숙해진 서로가 놀라웠어  널 사랑해  평온한 지금처럼만  영원하고 싶다고  너를 바라보다 생각했어  너를 만나 참 행복했어  나 이토록 사랑할 수 있었던 건  아직 어리고 모자란 내 맘  따뜻한 이해로 다 안아줘서  무심한 말투에 서로 아플 때면  차가워진 사이가  견딜 수 없어 미안해  불안한 지금이라도  영원하고 싶다고  너를 바라보다 생각했어  너를 만나 참 행복했어  나 이토록 사랑할 수 있었던 건  아직 어리고 모자란 내 맘  따뜻한 이해로 다 안아줘서  뜨거웠던 여름 지나  그리워질 빗소리에  하나 둘 수줍어 또 얼굴 붉히면  생각이 많아진  너의 눈에 입 맞출 테니  우리 함께 걸어가기로 해  나를 만나 너도 행복하니  못 해준 게 더 많아서 미안해  이기적이고 불안한 내가  너에게만은 잘하고 싶었어  오랫동안 나 기다려온  완벽한 사랑을 찾은 것 같아  날 잡아줘서 힘이 돼줘서  소중한 배려로 날 안아줘서  너를 만나,https://image.bugsm.co.kr/album/images/200/202037/20203701.jpg?version=20210421044949.0,"['국내외', '2020년', '100시리즈', '뮤직기네스', '2020 벅스 종합 결산 특집']",2020y
2,0.9929859364442201,2349783,별빛달빛,시크릿(Secret),별빛달빛,18025,슈비두바 빠빠빠 슈비두바 빠빠빠   랄랄랄라라 라라리라   장미꽃 한송이 받고 너에게 고백을 받고  내 맘은 샤랄라라라 샤랄라라라   밤 하늘의 별도 노래해    너는 내 어디가 좋아 나는 네 모든 게 좋아  네 맘도 샤랄라라라 샤랄라라라   세상 모든게 다 아름다워    자꾸 생각나 몰래 가슴 떨려와  어쩌면 좋아 어쩌면 좋아  정말 이런 기분 처음이야    너는 내 별빛 내 마음의 별빛  넌 나만의 달빛 소중한 내 달빛  그저 바라만보고 나를 위해 비춰주는 그런 사람  너는 내 하늘 하나뿐인 하늘  넌 나만의 바다 소중한 내 바다    서로 바라만 봐도 변함없이   미소 짓는 그런 사람      슈비두바 빠빠빠 슈비두바 빠빠빠   랄랄랄라라 라라리라    구름이 우릴 가려도 두둥실 흘러가듯이  언제나 샤랄라라라 샤랄라라라   오 내 사랑 사랑 오 내 사랑    자꾸 생각나 몰래 가슴 떨려와  어쩌면 좋아 어쩌면 좋아  정말 이런 기분 처음이야    너는 내 별빛 내 마음의 별빛  넌 나만의 달빛 소중한 내 달빛    그저 바라만보고 나를 위해 비춰주는 그런 사람  너는 내 하늘 하나뿐인 하늘  넌 나만의 바다 소중한 내 바다  서로 바라만 봐도 변함없이   미소 짓는 그런 사람        어두운 골목에 등불이 돼줄게   어두운 바다에 등대가 돼줄게    아침이 올 때까지 햇빛이 들 때까지   내 곁에서 날 비춰줘 내 맘속에 있어줘         너는 내 사랑  하나뿐인 사랑널 사랑해 널  넌 나만의 태양 하나뿐인 태양    그저 서로를 위해 아낌없이 줄 수 있는 그런 사람  너는 내 별빛 내 마음의 별빛  넌 나만의 달빛 소중한 내 달빛  그저 바라만보고 나를 위해 비춰주는 그런 사람        슈비두바 빠빠빠 슈비두바 빠빠빠   랄랄랄라라 라라리라  ,https://image.bugsm.co.kr/album/images/200/2885/288566.jpg?version=20210205165013.0,"['2020년', '2020년대', '연도별 국내영화OST', '영화', 'OST', '국내', '국내 영화', '영화/드라마']",2020y
