단어,빈도,year
사랑,1417,1990y
그대,756,1990y
마음,437,1990y
모두,374,1990y
세상,373,1990y
모습,327,1990y
지금,313,1990y
생각,290,1990y
사람,278,1990y
눈물,255,1990y
시간,241,1990y
사랑,2879,2000y
그대,1778,2000y
사람,708,2000y
눈물,628,2000y
세상,596,2000y
가슴,538,2000y
마음,533,2000y
모두,506,2000y
기억,445,2000y
생각,435,2000y
시간,400,2000y
사랑,1437,2010y
그대,774,2010y
사람,552,2010y
오늘,521,2010y
생각,512,2010y
마음,509,2010y
시간,446,2010y
지금,440,2010y
세상,340,2010y
모두,301,2010y
같은,296,2010y
사랑,661,2020y
그대,465,2020y
시간,402,2020y
마음,364,2020y
지금,333,2020y
오늘,325,2020y
생각,292,2020y
사람,265,2020y
기억,238,2020y
순간,226,2020y
하루,220,2020y
사랑,754,2021y
시간,389,2021y
마음,353,2021y
그대,315,2021y
생각,312,2021y
지금,293,2021y
기억,281,2021y
사람,232,2021y
오늘,226,2021y
순간,209,2021y
같은,200,2021y
