Topic,word,per
1,그대,14823.9
1,사랑,5522.4
1,어요,3186.0
1,마음,1659.7
1,당신,1493.1
1,사랑 사랑,1116.5
1,그대 그대,1017.2
1,다가,881.9
1,그대 사랑,830.0
1,사랑 그대,796.2
1,오늘,711.0
1,가요,702.0
1,언제,659.9
1,사랑 사랑 사랑,608.3
1,그대만,602.1
1,자꾸,598.8
1,안녕,588.6
1,우리,583.8
1,가슴,510.3
1,영원,500.9
1,하루,468.2
1,생각,434.4
1,눈물,427.3
1,매일,421.4
1,조금,405.6
1,행복,400.2
1,그대 마음,394.2
1,고백,385.3
1,미소,382.6
1,보고,382.1
1,세상,373.1
1,모습,363.6
1,라보,357.8
1,어도,344.0
1,사람,340.2
1,얼굴,319.2
1,어요 그대,314.2
1,사랑 사랑 사랑 사랑,277.2
1,아해,270.9
1,그대 모습,268.2
1,처음,266.1
1,하나요,259.4
1,그대 생각,252.2
1,안녕 안녕,251.2
1,아무,245.2
1,아주,242.8
1,자꾸 자꾸,230.7
1,오늘 그대,220.2
1,가득,218.5
1,항상,212.1
1,다리,208.8
1,다가 다가,206.7
1,지금,205.2
1,입술,203.9
1,수가,203.7
1,눈빛,203.5
1,사람 그대,203.3
1,그대 그대 그대,194.2
1,자꾸만,192.3
1,우리 사랑,190.8
1,노래,189.7
1,마음 그대,189.2
1,혹시,188.6
1,고마,186.5
1,그대 오늘,183.2
1,지나,182.0
1,기대,180.4
1,그대 어요,177.2
1,사랑 어요,177.2
1,그대 우리,177.2
1,언제 그대,172.2
1,사랑 사랑 사랑 사랑 사랑,171.2
1,멀리,171.1
1,어요 사랑,164.2
1,그대 사람,163.6
1,순간,162.4
1,어서,161.8
1,걸음,161.7
1,위해,161.4
1,그대로,160.3
1,여요,159.2
1,내겐,155.8
1,목소리,155.5
1,시간,155.0
1,잡고,148.4
1,얼마나,147.1
1,건가,144.5
1,기억,144.4
1,그대 세상,144.2
1,생각 그대,141.2
1,그대 얼굴,140.2
1,눈물 그대,139.2
1,그대 기억,139.1
1,햇살,137.7
1,그대 영원,137.2
1,약속,136.3
1,그대 미소,135.2
1,어깨,134.0
1,선물,131.7
1,겨울,131.0
1,거리,130.2
1,몰래,129.8
1,안고,128.6
1,혼자,128.5
1,야야,127.5
1,가까이,127.1
1,해주,126.7
1,바람,125.3
1,모두,123.1
1,아침,121.2
1,인걸,119.8
1,아름,116.5
1,이름,116.0
1,둘이서,116.0
1,아직,113.8
1,표정,108.1
1,잠시,107.7
1,웃음,105.2
1,도록,104.7
1,한번,104.0
1,오늘밤,99.7
1,심장,99.3
1,얘기,98.2
1,보이,97.0
1,시작,96.6
1,가지,96.3
1,용기,95.7
1,이상,95.1
