Topic,word,per
1,생각,54.1
1,세상,48.2
1,시간,48.0
1,사랑,44.3
1,지금,40.4
1,어디,39.9
1,우리,37.9
1,소리,37.4
1,모두,30.9
1,순간,29.8
1,친구,28.3
1,내일,27.2
1,하루,26.7
1,아무,26.2
1,머리,25.8
1,다가,25.1
1,사람,24.2
1,자꾸,23.7
1,여름,23.6
1,듯이,23.3
1,아직,20.9
1,가도,20.6
1,행복,20.6
1,시작,20.0
1,대로,19.8
1,살짝,19.4
1,보고,19.2
1,겨울,18.4
1,다른,18.0
1,어도,17.9
1,조금,17.7
1,사이,17.3
1,어요,17.0
1,걱정,16.6
1,그게,16.5
1,대해,16.3
1,영원,15.5
1,얘기,15.4
1,오늘,15.3
1,어진,15.2
1,달라,14.5
1,크게,14.5
1,바람,14.3
1,눈물,14.2
1,상처,14.2
1,서로,14.1
1,지나,14.1
1,전부,14.1
1,언제,14.1
1,우릴,13.9
1,가슴,13.6
1,어깨,13.3
1,마음,12.9
1,거리,12.8
1,이상,12.5
1,어서,12.5
1,살짝 살짝,12.3
1,면서,12.2
1,사라,12.1
1,하늘,12.1
1,을지,12.1
1,기도,12.1
1,혼자,12.0
1,이름,12.0
1,당신,11.7
1,미안,11.6
1,내겐,11.5
1,높이,11.3
1,무릎,11.3
1,불안,11.3
1,바보,11.3
1,가득,10.9
1,거기,10.7
1,위해,10.4
1,절대,10.4
1,대체,10.3
1,말투,10.3
1,날개,10.3
1,더라도,10.3
1,처음,10.3
1,피어,10.3
1,오지,10.2
1,그때,10.1
1,바다,10.0
1,항상,9.7
1,종일,9.4
1,기분,9.4
1,해지,9.4
1,반쪽,9.3
1,다음,9.3
1,신경,9.3
1,필요,9.3
1,바로,9.3
1,자유,9.2
1,심장,9.2
1,어둠,9.1
1,가지,9.1
1,하루 종일,9.0
1,라서,9.0
1,라가,9.0
1,특별,8.9
1,기억,8.9
1,저기,8.8
1,계속,8.8
1,누가,8.7
1,향기,8.6
1,인지,8.6
1,얼굴,8.6
1,홀로,8.5
1,절대로,8.3
1,걸음,8.3
1,그녀,8.3
1,나라,8.3
1,일어,8.3
1,온기,8.3
1,기대,8.2
1,남아,8.2
1,가끔,8.2
1,잠시,8.2
1,마주,8.0
1,하니,8.0
1,잡고,8.0
1,어가,8.0
1,다리,8.0
1,용기,7.9
1,혹시,7.9
1,문제,7.8
1,우리 사이,7.7
1,이지,7.7
1,수록,7.5
1,머릿속,7.4
1,바닥,7.3
1,아이스크림,7.3
1,제발,7.3
1,마다,7.3
1,게로,7.3
1,서서,7.2
1,가라,7.2
1,역시,7.1
1,온몸,7.0
1,아보,7.0
1,어른,7.0
1,가운,6.9
1,태양,6.9
1,만큼,6.8
1,보지,6.7
1,타고,6.7
