Topic,word,per
1,그대,14800.4
1,사랑,6545.2
1,마음,3584.4
1,우리,3564.0
1,어요,3175.4
1,아름,2593.8
1,바람,2480.5
1,기억,2142.7
1,하루,2079.1
1,오늘,2077.1
1,시간,1843.3
1,순간,1821.8
1,다가,1760.2
1,가득,1659.1
1,하늘,1636.2
1,세상,1574.1
1,당신,1492.7
1,겨울,1480.5
1,영원,1476.3
1,언제,1418.2
1,생각,1405.7
1,지나,1390.5
1,다운,1286.9
1,아름 다운,1250.6
1,모습,1211.8
1,미소,1210.6
1,조금,1183.4
1,향기,1165.9
1,노래,1100.3
1,햇살,1041.2
1,거리,1029.8
1,안녕,1025.9
1,그대 그대,1017.3
1,가슴,994.6
1,계절,988.0
1,사랑 사랑,984.0
1,라보,946.9
1,그때,928.5
1,행복,891.3
1,매일,885.7
1,눈물,881.1
1,보고,861.1
1,추억,836.4
1,그대 사랑,828.1
1,불어,800.8
1,지금,792.6
1,사랑 그대,790.4
1,아무,788.2
1,걸음,704.1
1,가요,702.0
1,자꾸,699.9
1,눈빛,658.4
1,소리,631.3
1,어도,628.5
1,얼굴,622.2
1,그날,617.1
1,아주,603.5
1,그대만,601.2
1,잡고,600.7
1,사랑 사랑 사랑,600.1
1,처음,595.2
1,마주,586.7
1,모두,577.8
1,사라,575.3
1,반짝,561.1
1,여름,557.3
1,고백,555.7
1,멀리,539.4
1,그대로,525.7
1,아직,518.0
1,기대,505.3
1,피어,504.7
1,목소리,500.9
1,입술,481.8
1,어가,478.9
1,다리,477.9
1,웃음,476.7
1,사람,472.3
1,항상,463.8
1,아래,454.7
1,별빛,452.6
1,아침,452.4
1,크리스마스,449.3
1,밤하늘,447.6
1,안고,436.9
1,도록,436.6
1,혼자,432.5
1,서로,431.4
1,어디,429.7
1,잠시,429.7
1,부신,429.1
1,선물,422.0
1,달빛,407.2
1,수가,395.1
1,그대 마음,394.0
1,가을,393.1
1,어둠,393.1
1,바다,389.8
1,가운,388.9
1,바람 불어,386.2
1,꽃잎,378.3
1,우릴,375.2
1,내겐,372.7
1,여전,365.6
1,이름,355.3
1,한번,353.2
1,부시,348.4
1,이대,347.0
1,구름,340.1
1,혹시,337.2
1,지지,330.9
1,홀로,328.9
1,어서,327.6
1,마다,326.5
1,지난,326.1
1,약속,323.8
1,남아,323.6
1,내게로,323.3
1,시작,319.7
1,가까이,318.2
1,푸른,316.2
1,어요 그대,314.3
1,종일,313.7
1,아가,311.8
1,어제,311.5
1,고마,309.9
1,우리 사랑,307.7
1,가장,305.7
1,위로,304.5
1,노을,299.5
1,기분,299.3
1,지고,295.2
1,어진,295.0
1,그리움,289.1
1,유난,287.1
1,이야기,284.2
1,위해,279.7
1,아해,279.3
1,문득,277.6
1,사랑 사랑 사랑 사랑,277.3
1,파도,276.5
1,선명,275.8
1,몰래,274.5
1,어깨,274.1
1,귓가,273.4
1,소원,272.3
1,내일,269.9
1,그대 모습,268.3
1,얘기,267.0
1,온기,266.4
1,오직,264.7
1,가끔,262.6
1,하루 종일,262.3
1,자꾸만,260.2
1,하나요,254.0
1,그대 생각,252.3
1,레이,251.9
1,숨결,251.8
1,안녕 안녕,251.3
1,감고,249.9
1,만큼,245.6
1,맘속,241.6
1,꿈속,241.1
1,슬픔,240.1
1,한참,234.8
1,다가 다가,230.9
1,자리,227.4
1,온통,227.4
1,보이,224.8
1,둘이서,224.7
1,불빛,223.0
1,두운,221.1
1,오늘 그대,220.3
1,얼마나,217.6
1,오래,217.5
1,게로,216.8
1,하루 하루,215.3
1,아지,215.1
1,부서,214.9
1,밤새,214.0
1,이면,212.1
1,전해,212.0
1,자꾸 자꾸,211.8
1,새벽,210.2
1,기도,209.2
1,발걸음,208.4
1,손길,206.4
1,표정,205.8
1,간직,205.3
1,오늘 하루,205.2
1,봄날,204.4
1,만날,201.9
1,만난,197.9
1,익숙,197.3
1,해주,195.0
1,그대 그대 그대,194.3
1,웠던,194.2
1,지네,193.9
1,풍경,192.8
1,나무,192.6
1,설레임,192.2
1,꽃처럼,191.5
1,인걸,190.9
1,마음 그대,188.9
1,가도,188.2
1,인사,188.2
1,각하,187.0
1,맑은,186.3
1,고서,186.3
1,외로,183.7
1,그대 오늘,183.3
1,여름밤,182.5
1,마저,182.2
1,벚꽃,181.8
1,오늘밤,180.0
1,마치,178.9
1,지면,178.7
1,운명,177.9
1,그대 어요,177.3
1,그대 우리,177.3
1,사랑 어요,177.3
1,너머,174.0
1,사람 그대,172.4
1,언제 그대,172.3
1,사랑 사랑 사랑 사랑 사랑,171.3
1,면서,169.4
1,시원,168.8
1,해지,166.6
1,이상,166.1
1,점점,165.4
1,그림,165.1
1,별처럼,164.9
1,어요 사랑,164.2
1,마지막,164.0
1,온종일,163.1
1,느낌,162.9
1,심장,161.5
1,무엇,160.3
1,하루 지나,159.8
1,여요,159.3
1,타고,159.1
1,한숨,158.9
1,그대 사람,157.6
1,살랑,157.0
1,비밀,155.6
1,깊이,154.8
1,건가,154.7
1,사이,152.3
1,희미,152.1
1,우연,152.0
1,태양,152.0
1,마음속,151.1
1,봄바람,150.3
1,가오,149.6
1,다린,149.6
1,창문,149.2
1,용기,146.4
1,듯이,146.2
1,전부,144.9
1,답던,144.3
1,그대 세상,144.3
1,공기,143.9
1,아름 답던,143.5
1,순간 순간,143.3
1,바로,143.2
1,걸음 걸음,143.2
1,창가,143.0
1,가지,142.9
1,오늘이,142.4
1,생각 그대,141.3
1,영원 사랑,141.0
1,상상,140.4
1,찬란,140.4
1,그대 얼굴,140.3
1,낙엽,139.4
1,그대 기억,139.2
1,눈물 그대,138.8
1,어쩌면,138.0
1,그대 영원,137.3
1,는걸,137.1
1,세상 아름,136.6
1,한번 한번,136.3
1,그대 미소,135.3
1,아하,134.7
1,눈동자,134.6
1,걱정,133.7
1,전하,133.3
1,아보,133.1
1,장미,132.9
1,아름 웠던,131.1
1,그때 그때,130.4
1,저기,130.0
1,레게,129.8
1,우리 시간,129.5
1,보이지,129.2
1,서서,128.3
1,기적,127.4
1,린다,126.7
1,하늘 아래,126.7
1,이처럼,126.6
1,영화,126.0
1,조금 조금,125.9
1,조각,125.2
1,이나,124.6
1,행운,123.6
1,뒷모습,123.6
1,우산,123.1
1,외로움,122.8
1,그림자,121.5
1,음으로,121.2
1,이란,120.2
1,어딘가,120.1
1,오후,119.6
1,어색,119.3
1,의미,118.8
1,커피,117.4
1,조심,117.3
1,저녁,116.8
1,기다림,116.6
1,가면,115.8
1,물든,115.7
1,그늘,114.9
1,이루,114.3
1,이유,114.1
1,멜로디,113.6
1,라만,113.2
1,소녀,111.6
1,누군가,111.4
1,보아,110.9
1,하루하루,110.1
1,머리,109.9
1,오지,109.7
1,근대,109.5
1,가로등,109.3
1,기억 기억,109.3
1,첫사랑,108.3
1,시절,108.2
1,편지,108.0
1,조금 다가,107.9
1,투명,107.6
1,아내,107.3
1,기고,106.8
1,우리 추억,105.6
1,달이,105.5
1,멍하니,105.1
1,키스,104.8
1,손끝,103.9
1,더욱,103.9
1,간다,103.5
1,무도,102.6
1,기만,101.4
1,지금 순간,100.5
1,마음 마음,100.4
1,시간 우리,100.0
1,발자국,99.3
1,우리 기억,98.7
1,빗물,98.4
1,사실,98.3
1,주네,97.6
1,근거,97.5
1,안개,96.0
1,조차,95.2
1,시원 바람,95.0
1,살짝,94.5
1,아이,94.4
1,바보,93.7
1,말로,93.7
1,다른,93.1
1,달라,92.7
1,사랑 우리,92.7
1,사랑 노래,92.3
1,무지개,91.6
1,천사,91.5
1,대도,90.8
1,라서,90.7
1,아픔,90.6
1,처음 만난,89.9
1,오늘 사랑,89.7
1,채운,88.7
1,라라,88.1
1,사랑 영원,88.1
1,때문,87.6
1,특별,87.4
1,사랑 오늘,87.2
1,어쩜,87.1
1,리다,87.1
1,준비,86.5
1,편안,86.4
1,충분,86.2
1,표현,86.0
1,마냥,85.7
1,그때 우리,85.4
1,속삭임,83.4
1,세월,83.0
1,파란,82.9
1,수록,82.6
1,감사,82.0
1,숨기,81.8
1,여가,81.7
1,골목길,81.1
1,입맞춤,80.6
1,고요,80.6
1,가슴속,80.2
1,사진,79.7
1,고요한,79.6
1,간절,79.6
1,흔적,79.5
1,벌써,79.3
1,사랑 마음,78.9
1,건너,78.7
1,아마,78.5
1,사뿐,78.4
1,연인,78.0
1,시리,77.9
1,시간 지나,77.9
1,이기,77.6
1,사랑 언제,77.6
1,이제야,77.6
1,두드,77.3
1,근거리,77.0
1,리지,76.7
1,스레,76.6
1,창밖,76.4
1,활짝,75.6
1,마법,75.4
1,차오,75.2
1,따라서,75.1
1,언덕,74.9
1,우리 처음,74.8
1,먼저,74.7
1,자라,73.9
1,어보,73.1
1,기쁨,73.1
1,어깨 기대,72.5
1,수도,71.9
1,더라도,71.2
1,낯선,70.4
1,나타,69.7
1,고개,69.6
1,서성,69.5
1,라라라,69.4
1,가야,69.0
1,서도,68.5
1,축복,68.4
1,하나로,67.8
1,사랑 시작,67.8
1,여주,67.7
1,조그만,67.4
1,그린,67.3
1,기억 우리,67.3
1,변치,66.3
1,오랜만,66.1
1,이상하,66.0
1,맴도,65.9
1,몸짓,64.0
1,그땐,63.6
1,치면,63.5
1,모습 그대로,63.3
1,사라 지지,63.3
1,오랫동안,62.6
1,오늘 우리,62.6
1,손짓,62.6
1,숨소리,61.8
1,이지,61.8
1,무슨,61.5
1,눈앞,61.4
1,지나 가면,60.9
1,온도,60.0
1,외로워,59.7
1,오른,59.2
1,다정,59.1
1,여행,58.8
1,수만,58.7
1,무거,57.5
1,오기,56.7
1,동안,55.7
1,방안,55.6
1,갈수록,55.5
1,보석,55.0
1,방울,54.9
1,가나,54.6
1,한잔,54.3
1,허락,54.2
1,올해,54.1
1,마음 사랑,54.0
1,자꾸 생각,54.0
1,무심,53.6
1,영혼,53.6
1,한마디,53.3
1,일상,53.2
1,을지,53.1
1,망설,53.0
1,완벽,52.1
1,지난날,51.9
1,불안,51.9
1,그녀,51.4
1,모래,51.0
1,지도,50.7
1,장면,50.4
1,여운,50.4
1,가기,50.2
1,길이,50.2
1,한순간,49.9
1,오래전,49.7
1,날씨,49.5
1,돌이,48.7
1,거릴,48.6
1,달래,48.5
1,지나 시간,48.5
1,서면,48.4
1,무얼,48.2
1,환상,47.7
1,부디,47.6
1,언제 사랑,47.4
1,일지,47.3
1,제일,47.3
1,대신,47.3
1,평범,47.2
1,지금 이대,47.2
1,지우,47.2
1,이토,46.4
1,단둘,45.9
1,지게,45.6
1,거려,45.5
1,냄새,45.5
1,는가,45.2
1,로만,45.1
1,평생,45.0
1,사랑 이란,45.0
1,매일 매일,44.1
1,런가,44.0
1,부탁,43.0
1,인지,42.3
1,라라라라,41.9
1,사랑 시간,40.9
1,나기,40.6
1,그것,40.3
1,우리 우리,40.0
1,화려,39.5
1,어찌,39.5
1,옛날,39.4
1,가끔 생각,39.4
1,후회,39.2
1,일도,39.1
1,물어,38.9
1,한단,38.8
1,사랑 세상,38.7
1,려고,38.7
1,온몸,38.7
1,필요,38.6
1,다행,38.5
1,이불,38.4
1,생각 생각,38.1
1,여서,37.8
1,진심,37.7
1,만남,37.6
1,주지,37.5
1,헤어,37.3
1,생각 오늘,37.2
1,아직까지,36.6
1,지금 우리,36.2
1,끝내,36.0
1,주기,35.8
1,그동안,35.7
1,때론,35.6
1,어안,35.2
1,순수,35.2
1,뒤척,35.1
1,먼지,34.5
1,세상 우리,34.3
1,빌어,34.1
1,취해,34.1
1,대답,33.6
1,거기,33.6
1,침묵,33.5
1,분명,33.4
1,감정,33.0
1,머릴,32.9
1,고민,32.7
1,까운,32.2
1,공간,31.7
1,일어,31.5
1,내지,31.4
1,주머니,31.1
1,오늘 오늘,30.9
1,하니,30.9
1,겨우,30.8
1,다만,30.7
1,시계,30.3
1,밤새 도록,29.9
1,아오지,29.9
1,보고 어서,29.7
1,움직,29.6
1,주인공,29.5
1,존재,29.2
1,생각 우리,28.9
1,리도,28.8
1,카페,28.7
1,햇빛,28.6
1,도시,28.5
1,리기,28.5
1,일인,28.4
1,시선,28.1
1,금방,28.1
1,주위,27.9
1,내야,27.9
1,피하,27.8
1,갑자기,27.8
1,아쉬움,27.7
1,보고 보고,27.6
1,간지,27.4
1,갈래,27.4
1,주치,27.4
1,유일,27.4
1,발끝,27.3
1,인연,27.3
1,우리 서로,27.3
1,사소,27.2
1,사랑 기억,27.1
1,보지,26.9
1,말투,26.7
1,부족,26.5
1,얘길,26.3
1,이별,25.5
1,날개,25.4
1,머릿속,25.3
1,연습,25.2
1,나라,25.1
1,습관,25.0
1,거란,24.9
1,깜짝,24.8
1,세상 사랑,24.8
1,모자,24.7
1,가시,24.6
1,요즘,24.6
1,우울,24.4
1,이번,24.4
1,사랑 아무,24.3
1,조명,24.2
1,거짓말,23.9
1,사랑 행복,23.9
1,생각 사랑,23.8
1,아무 일도,23.8
1,두려움,23.6
1,빈자리,23.6
1,저리,23.5
1,기억 사랑,23.2
1,담배,23.2
1,안부,23.2
1,거울,23.1
1,나로,22.9
1,아버,22.8
1,설명,22.7
1,아들,22.6
1,다음,22.6
1,서두,22.5
1,농담,22.4
1,동네,22.4
1,주문,22.3
1,아무 걱정,22.2
1,사랑 한단,22.1
1,아무 생각,22.1
1,멀리 멀리,22.0
1,가라,22.0
1,다짐,21.9
1,미래,21.5
1,가게,21.2
1,종이,21.2
1,고도,21.1
1,내기,20.9
1,제자리,20.8
1,장난,20.8
1,편이,20.7
1,행복 사랑,20.6
1,자신,20.5
1,보기,20.0
1,어젯밤,19.8
1,상처,19.7
1,지금 사랑,19.6
1,반복,19.6
1,기지,19.5
1,욕심,19.3
1,계속,19.2
1,자연,19.1
1,사랑 지금,19.1
1,사람인,18.8
1,우지,18.3
1,무너,18.2
1,주저,18.1
1,하진,18.0
1,별일,17.8
1,차마,17.8
1,외면,17.7
1,취한,17.6
1,마디,17.5
1,눈물 사랑,17.5
1,거짓,17.5
1,대하,17.4
1,뭔가,17.4
1,달리,17.4
1,소식,17.2
1,노래 노래,17.2
1,구나,17.2
1,버릇,17.1
1,아무 의미,16.7
1,어제 오늘,16.7
1,때로는,16.6
1,번만,16.6
1,감기,16.3
1,가슴 사랑,16.0
1,의심,15.9
1,여자,15.9
1,믿음,15.6
1,지기,15.6
1,별거,15.2
1,어어,14.9
1,희망,14.9
1,전화,14.8
1,솔직,14.7
1,거나,14.6
1,아무 아무,14.5
1,상관,14.4
1,래서,14.4
1,시간 시간,14.3
1,힘껏,14.3
1,손가락,14.2
1,침대,13.8
1,어른,13.8
1,훗날,13.7
1,사랑 하니,13.6
1,이도,13.5
1,기하,13.4
1,모자라,13.4
1,타오,13.3
1,이해,13.3
1,갈라,13.2
1,구석,13.0
1,원망,12.9
1,망설 이지,12.8
1,나인,12.7
1,실수,12.7
1,크게,12.7
1,지금 어디,12.6
1,미안,12.5
1,누가,12.3
1,포기,12.2
1,나니,12.1
1,사랑 눈물,11.9
1,요하,11.9
1,야만,11.8
1,무릎,11.7
1,지루,11.7
1,직하,11.7
1,자주,11.6
1,그거,11.5
1,눈치,11.4
1,마음 모두,11.2
1,음악,10.8
1,회하,10.5
1,우주,10.4
1,도대체,10.1
1,연한,10.0
1,버스,10.0
1,바라지,10.0
1,예감,9.9
1,사랑 만큼,9.9
1,은지,9.7
1,오늘 내일,9.6
1,치도,9.4
1,궁금,9.4
1,며칠,9.2
1,소용,8.8
1,잠깐,8.7
1,절대,8.6
1,니지,8.6
1,역시,8.5
1,현실,8.5
1,이상은,8.2
1,지구,7.8
1,예전,7.6
1,얼음,7.6
1,해하,7.5
1,차라리,7.5
1,혼자 사랑,7.4
1,전화기,7.2
1,색깔,7.2
1,연하,7.1
1,랄라라,7.1
1,핑계,7.0
1,미련,6.8
1,절대로,6.8
1,깜빡,6.7
1,맘껏,6.5
1,사랑 아직,6.4
1,그게,6.2
1,오히려,6.2
1,도착,6.1
1,정도,6.0
1,라며,6.0
1,단어,5.9
1,굳이,5.9
1,파서,5.8
1,웃기,5.8
1,잡지,5.7
1,취하,5.7
1,만약,5.7
1,중요,5.6
1,반대,5.6
1,구들,5.5
1,치기,5.1
1,제발,5.0
1,정신,4.8
1,문제,4.8
1,적당,4.7
1,자랑,4.7
1,원한,4.7
1,우리 지금,4.6
1,핸드폰,4.6
1,확실,4.5
1,라가,4.5
1,노력,4.2
1,어떡,4.2
1,평소,4.2
1,오해,4.2
1,아직 사랑,4.2
1,서로 사랑,4.1
1,참고,4.1
1,아야,4.0
1,부담,4.0
1,한지,4.0
1,더니,4.0
1,무언가,3.8
1,더라면,3.8
1,초콜릿,3.7
1,대로,3.5
1,어간,3.3
1,우리 사이,3.3
1,착각,3.3
1,하늘 위로,3.1
1,연락,3.1
1,매번,3.0
1,드라마,3.0
1,대한,2.9
1,바닥,2.9
1,루루,2.9
1,얼마,2.8
1,결혼,2.8
1,고장,2.7
1,안해,2.5
1,누굴,2.4
1,문자,2.4
1,자고,2.4
1,혼자 혼자,2.3
1,연애,2.2
1,피곤,2.2
1,자기,2.2
1,짜증,2.2
1,자유,2.1
1,화장,2.0
1,민하,2.0
1,었다,1.9
1,피해,1.8
1,하자,1.8
1,바보 사랑,1.8
1,남자,1.8
1,신발,1.7
1,도망,1.7
1,사람과,1.7
1,우리 헤어,1.6
1,헤엄,1.6
1,전혀,1.6
1,만하,1.5
1,하단,1.5
1,대해,1.5
1,연기,1.4
1,세계,1.4
1,주말,1.4
1,친구,1.4
1,자존심,1.4
1,머리 발끝,1.4
1,무대,1.3
1,진실,1.3
1,최고,1.3
1,청춘,1.3
1,나이,1.2
1,라지,1.2
1,당장,1.1
1,대화,1.1
1,신경,1.0
1,부러,1.0
1,사랑 사람,1.0
1,원래,1.0
1,스물,1.0
1,니야,1.0
1,갈리,1.0
1,하하,1.0
1,인생,0.9
1,잘못,0.9
1,나야,0.9
1,주변,0.9
1,별로,0.9
1,관심,0.9
1,사랑 모두,0.8
1,분위기,0.8
1,맘대로,0.8
1,야야,0.8
1,따윈,0.8
1,지금 지금,0.8
1,세상 사람,0.8
1,기회,0.8
1,가사,0.7
1,방법,0.7
1,확인,0.7
1,행동,0.7
1,었어,0.7
1,하라,0.6
1,만해,0.6
1,행복 행복,0.6
1,감당,0.6
1,미안 미안,0.6
1,고통,0.6
1,이건,0.6
1,확신,0.6
1,자유로,0.6
1,만큼 사랑,0.6
1,우리 이별,0.5
1,용서,0.5
