단어,빈도,category
너와,33.74024616600084,신나는
모두,27.61885929122338,신나는
같은,27.10290212128475,신나는
저,24.372467539447076,신나는
안,24.252891525311778,신나는
마,24.093661903665115,신나는
밤,23.909416349292545,신나는
이젠,23.509266934943895,신나는
몰라,23.1271320782712,신나는
순간,21.725190562434456,신나는
함께,21.55101670908221,신나는
매일,20.809405408372285,신나는
맘,20.59305777367802,신나는
좋아,20.427062481265946,신나는
속에,20.23086041002722,신나는
맘을,19.957565338737684,신나는
눈을,19.498326823998084,신나는
그래,19.034477375943805,신나는
너에게,19.001448253070013,신나는
오늘,18.847697258447504,신나는
니,18.62053499403722,신나는
두,18.44016175527794,신나는
없이,18.114380820040566,신나는
다른,17.9997750508063,신나는
손을,17.74362446118019,신나는
자꾸,17.458542959800898,신나는
나도,17.330540062896155,신나는
마치,15.176430264947014,신나는
너만,15.121755122502131,신나는
위로,14.73546735308662,신나는
같이,14.660829924930598,신나는
이런,14.459280024280103,신나는
할,14.457749471174147,신나는
네게,14.352139674868418,신나는
오,14.245114811409131,신나는
원해,14.193785256063071,신나는
따라,13.959513622950318,신나는
나와,13.58415076775008,신나는
말고,13.318880625296583,신나는
눈,13.268372458282803,신나는
이미,13.219466746588223,신나는
누가,13.217288818537419,신나는
사랑해,13.16445732627914,신나는
줘,13.154280117776391,신나는
눈이,13.071696279578983,신나는
계속,12.93900205136687,신나는
보고,12.908904063387592,신나는
보면,12.835495173270575,신나는
꼭,12.83081746932026,신나는
하늘,12.764079994608103,신나는
듯,12.7260154289049,신나는
바로,12.669443045838381,신나는
이건,12.658082498914723,신나는
마음,12.562476691918459,신나는
언제나,12.537564706222078,신나는
위해,12.500421180775687,신나는
달콤한,12.492218698878094,신나는
조금,12.478868210763865,신나는
아직,12.45648285944021,신나는
이대로,12.433104522202544,신나는
사랑,12.288123603730925,신나는
춤을,12.238143129788241,신나는
맘이,12.166392734895206,신나는
느낌,12.124027501386797,신나는
어떤,12.005534349446272,신나는
점점,11.825057892322981,신나는
보여,11.797626223042517,신나는
말해,11.746069817376267,신나는
꿈을,11.742752811242536,신나는
거,11.62621343730438,신나는
시간이,11.611686668996688,신나는
멀리,11.51894449845781,신나는
사랑을,11.484770255108279,신나는
세상,11.457263018806794,신나는
하지만,11.403816084186946,신나는
안에,11.39801800844533,신나는
수가,11.37575996679289,신나는
기분,11.327439771569038,신나는
좋은,11.20016346392296,신나는
맘에,11.183130937519113,신나는
작은,11.120312442612242,신나는
절대,11.007187693486975,신나는
알아,10.963530258185871,신나는
척,10.883308046758849,신나는
뭘,10.87045163450839,신나는
뭐,10.845726044188073,신나는
나만,10.843281618600903,신나는
그대로,10.839088016869358,신나는
번,10.808764289561637,신나는
영원히,10.733569771168394,신나는
대로,10.70056415243027,신나는
참,10.60250562840557,신나는
속,10.590983325055925,신나는
가는,10.563184315184072,신나는
시간,10.51035119738776,신나는
싶은,10.453752983986032,신나는
그게,10.448390140836855,신나는
다가와,10.43759610941758,신나는
항상,10.435485158945394,신나는
너도,10.371650612598474,신나는
아냐,10.366395613704269,신나는
될,10.330773394227146,신나는
사람,10.247194635163037,신나는
싫어,10.19346345005814,신나는
높이,10.156061585429196,신나는
있게,10.036581828561072,신나는
이제는,10.011197153602145,신나는
아름다운,9.855608351880539,신나는
못해,9.796990990134688,신나는
줄,9.791185108031376,신나는
전부,9.75701152452195,신나는
둘,9.705819090869443,신나는
우릴,9.675456017978508,신나는
딱,9.614695382682731,신나는
볼,9.570837633442547,신나는
안돼,9.530610882421295,신나는
눈에,9.529689493994766,신나는
아무도,9.496088950323468,신나는
어서,9.482785153387043,신나는
괜찮아,9.470233080142114,신나는
말을,9.464289358179082,신나는
그저,9.451832621754438,신나는
오늘도,9.418696770125374,신나는
어떡해,9.399913278259795,신나는
마음을,9.386187729269306,신나는
어떻게,9.306825543156672,신나는
크게,9.298483273349312,신나는
달라,9.269938200646976,신나는
곁에,9.268970793316932,신나는
온,9.186258427340688,신나는
가득,9.125329002163106,신나는
많이,9.11981313486409,신나는
늘,9.084298034555768,신나는
모습,9.013828167692143,신나는
혼자,8.961543298623099,신나는
불러,8.949236510214282,신나는
아무,8.9419619262589,신나는
봐도,8.91723779955843,신나는
제발,8.915613655945148,신나는
알고,8.915016659960768,신나는
오직,8.902215392841553,신나는
바람,8.860462187687292,신나는
한번,8.74121869907716,신나는
쉽게,8.609897182783275,신나는
조금씩,8.587998843798223,신나는
전에,8.57134669108976,신나는
아래,8.555508650752722,신나는
때까지,8.55243276162731,신나는
자꾸만,8.544551686192678,신나는
됐어,8.51868849590298,신나는
소리,8.511481344912275,신나는
아니야,8.503531086783545,신나는
보는,8.501322595917319,신나는
것처럼,8.48869887626017,신나는
듯이,8.476601595390544,신나는
아닌,8.47607550805766,신나는
찾아,8.47153300481285,신나는
끝까지,8.466094570037452,신나는
나에게,8.45900410984837,신나는
예쁜,8.444514763524161,신나는
많은,8.428459798049323,신나는
멋진,8.41221702692847,신나는
위에,8.411744909359166,신나는
세상에,8.385715292704486,신나는
아주,8.35563098122527,신나는
사랑이,8.3248157405981,신나는
처음,8.31456248084913,신나는
새로운,8.310562323279889,신나는
밤이,8.307172940477965,신나는
길을,8.305325747570144,신나는
위한,8.280619513606961,신나는
않게,8.279121116009092,신나는
갈,8.273264669367562,신나는
하루,8.263604874894337,신나는
사랑은,8.257080704756008,신나는
손,8.199540090927254,신나는
빨리,8.189125786460163,신나는
세상을,8.17325039905456,신나는
둘이,8.11129831223655,신나는
어때,8.110693796728944,신나는
것만,8.072778317071462,신나는
마음이,8.067094936939109,신나는
흔들어,8.055805005834507,신나는
앞에,8.055621882828056,신나는
눈빛,8.028127151125283,신나는
하지마,7.994405870883386,신나는
향해,7.897154847782434,신나는
가까이,7.834322355953256,신나는
뜨거운,7.826912143520309,신나는
만들어,7.814161930607748,신나는
머리,7.81102342602494,신나는
순,7.801139438213391,신나는
말해줘,7.791471349863826,신나는
가슴이,7.744762420057453,신나는
숨,7.701215234379453,신나는
원하는,7.677917044478539,신나는
사이,7.674756508924599,신나는
본,7.640065056830964,신나는
보여줘,7.605396553072507,신나는
뭔가,7.597599210574093,신나는
향한,7.583040882272931,신나는
땐,7.571204217794319,신나는
바래,7.539473636896543,신나는
있잖아,7.530663737479072,신나는
우리의,7.516258764644212,신나는
갖고,7.489936854536588,신나는
위,7.4828716922100185,신나는
모르게,7.477838308197324,신나는
때문에,7.463444682863581,신나는
깊이,7.456180501640947,신나는
꿈,7.439820053188864,신나는
빛이,7.435901159082462,신나는
저기,7.426395783612264,신나는
맘은,7.388957672353544,신나는
오늘은,7.382803507085267,신나는
바다,7.375533019790743,신나는
빠져,7.366215314886311,신나는
않을,7.3650311392659935,신나는
말이,7.345860687696104,신나는
나만의,7.339143080452029,신나는
둘만의,7.335029183927298,신나는
필요해,7.32089804509883,신나는
별,7.315505664543643,신나는
서로,7.300523713534792,신나는
그만,7.297912050602127,신나는
미쳐,7.285027166776238,신나는
생각,7.243048897424689,신나는
무슨,7.213176031231699,신나는
단,7.187786511166867,신나는
