단어,빈도,year
노래,42,1940y
눈물,41,1940y
가슴,27,1940y
고향,27,1940y
거리,20,1940y
아리랑,19,1940y
서울,19,1940y
바다,19,1940y
어머님,18,1940y
풍년,18,1940y
바람,17,1940y
이별,19,1950y
운다,18,1950y
아가씨,17,1950y
우는,16,1950y
잡고,15,1950y
고개,15,1950y
불러,15,1950y
물새,14,1950y
전선,14,1950y
영원,13,1950y
항구,13,1950y
가슴,37,1960y
사나이,24,1960y
눈물,23,1960y
얼굴,21,1960y
바람,20,1960y
여자,19,1960y
보고,18,1960y
하늘,16,1960y
여인,16,1960y
거리,15,1960y
그림자,14,1960y
눈물,185,1980y
가슴,164,1980y
바람,158,1980y
하늘,102,1980y
추억,76,1980y
세월,75,1980y
슬픔,75,1980y
떠나,72,1980y
홀로,60,1980y
거리,60,1980y
이별,59,1980y
세상,376,1990y
시간,239,1990y
행복,223,1990y
기억,215,1990y
영원,170,1990y
혼자,141,1990y
그녀,141,1990y
순간,124,1990y
서로,124,1990y
친구,123,1990y
버린,118,1990y
눈물,633,2000y
가슴,538,2000y
하늘,341,2000y
하루,250,2000y
보고,249,2000y
남자,231,2000y
몰라,223,2000y
바보,218,2000y
추억,217,2000y
노래,201,2000y
미안,200,2000y
시간,445,2010y
세상,342,2010y
기억,297,2010y
행복,277,2010y
순간,269,2010y
아름,245,2010y
매일,226,2010y
좋아,219,2010y
혼자,212,2010y
바람,209,2010y
영원,181,2010y
당신,87,1970y
아름,51,1970y
노래,50,1970y
하얀,46,1970y
친구,39,1970y
행복,39,1970y
멀리,37,1970y
세상,36,1970y
영원,36,1970y
외로,32,1970y
약속,31,1970y
