id.auto(),word.string(),freq.int32(),year.string()
0,사랑,1417,1990
1,그대,756,1990
2,마음,437,1990
3,모두,374,1990
4,세상,373,1990
5,모습,327,1990
6,지금,313,1990
7,생각,290,1990
8,사람,278,1990
9,눈물,255,1990
10,시간,241,1990
11,사랑,2879,2000
12,그대,1778,2000
13,사람,708,2000
14,눈물,628,2000
15,세상,596,2000
16,가슴,538,2000
17,마음,533,2000
18,모두,506,2000
19,기억,445,2000
20,생각,435,2000
21,시간,400,2000
22,사랑,1437,2010
23,그대,774,2010
24,사람,552,2010
25,오늘,521,2010
26,생각,512,2010
27,마음,509,2010
28,시간,446,2010
29,지금,440,2010
30,세상,340,2010
31,모두,301,2010
32,같은,296,2010
