id,word,freq,year
1,사랑,344,1990
2,그대,104,1990
3,눈물,72,1990
4,세상,63,1990
5,모두,62,1990
6,모습,56,1990
7,기억,54,1990
8,마음,50,1990
9,지금,50,1990
10,사람,47,1990
11,위해,42,1990
12,사랑,416,2000
13,그대,189,2000
14,뜨거,102,2000
15,사람,85,2000
16,눈물,73,2000
17,가슴,64,2000
18,모두,53,2000
19,생각,52,2000
20,마음,51,2000
21,여자,46,2000
22,시간,44,2000
23,사랑,416,2010
24,그대,189,2010
25,뜨거,102,2010
26,사람,85,2010
27,눈물,73,2010
28,가슴,64,2010
29,모두,53,2010
30,생각,52,2010
31,마음,51,2010
32,여자,46,2010
33,시간,44,2010
34,사랑,149,2020
35,그대,114,2020
36,마음,71,2020
37,세상,64,2020
38,지금,59,2020
39,시간,56,2020
40,사람,50,2020
41,노래,43,2020
42,생각,42,2020
43,어떤,39,2020
44,아무,39,2020
45,사랑,159,2021
46,시간,68,2021
47,사람,63,2021
48,마음,58,2021
49,생각,55,2021
50,기억,49,2021
51,지금,47,2021
52,같은,47,2021
53,세상,46,2021
54,모르겠어,41,2021
55,오늘,40,2021
